# Sensor Комендантский проспект, округ Коломяги, Russia (Citizen Science project sensor.community/82410)
# https://aqicn.org/station/@410605/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-08-06T00:00:00.000Z,1.75,3.83,2.58,2.38,2.75,0.302,495
2023-08-07T00:00:00.000Z,1.7,104.8,2.63,2.22,3.17,17.536,1325
2023-08-08T00:00:00.000Z,1.7,115.3,2.72,2.35,3.5,24.301,1323
2023-08-09T00:00:00.000Z,2.4,73.63,5,3.33,6.63,11.561,1300
2023-08-10T00:00:00.000Z,4.2,136.05,7.13,6.32,8.48,25.708,1127
2023-08-11T00:00:00.000Z,3.3,132.63,5.69,4.72,8.06,25.566,1152
2023-08-12T00:00:00.000Z,1.98,79.55,6.63,3.1,12.52,13.216,1303
2023-08-13T00:00:00.000Z,2.02,113.57,4.43,2.85,8.27,16.007,1279
2023-08-14T00:00:00.000Z,2.17,14.07,3.8,3.35,4.25,0.897,1355
2023-08-15T00:00:00.000Z,2.42,55.72,4.09,3.67,4.68,6.995,1284
2023-08-16T00:00:00.000Z,2.9,177.2,5.57,4.4,7.71,7.278,1305
2023-08-17T00:00:00.000Z,3.3,117.5,5.82,4.32,8.38,15.862,1269
2023-08-18T00:00:00.000Z,3.63,186.23,7.75,5.78,9.6,31.146,1295
2023-08-19T00:00:00.000Z,0.73,20.77,2.58,2,4.09,2.64,1316
2023-08-20T00:00:00.000Z,1.02,47.95,2.25,1.72,3.35,6.034,1088
2023-08-21T00:00:00.000Z,0.93,3.47,1.7,1.58,1.9,0.284,1091
2023-08-22T00:00:00.000Z,1.3,20.27,2.22,1.85,2.9,2.058,1298
2023-08-23T00:00:00.000Z,0.73,17,1.8,1.4,2.4,1.593,1327
2023-08-24T00:00:00.000Z,0.63,8.57,1.65,1.3,2.1,0.873,1329
2023-08-25T00:00:00.000Z,0.6,12.9,2,1.4,2.85,1.166,1341
2023-08-26T00:00:00.000Z,1.2,7.72,2.38,2,2.7,0.671,1339
2023-08-27T00:00:00.000Z,0.5,4.7,2.1,1.67,2.52,0.686,1213
2023-08-28T00:00:00.000Z,0.13,3.03,1.02,0.8,1.3,0.328,1359
